algorithm,dataset,attack,evaluations,indicator,value,dir
moead,cifar10,FGSM,680,hv,152285.21172463775,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,680,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,680,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,720,hv,152285.21172463775,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,720,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,720,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,760,hv,152285.21172463775,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,760,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,760,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,800,hv,152896.1872164556,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,800,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,800,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,840,hv,152897.7579305378,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,840,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,840,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,880,hv,152899.249412602,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,880,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,880,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,920,hv,152900.24573084878,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,920,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,920,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,960,hv,152900.24573084878,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,960,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,960,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,1000,hv,152900.27128971214,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,1000,r2,0.1493629113920637,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,1000,hv_2obj,51.54115731520892,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
moead,cifar10,FGSM,1040,hv,152900.27128971214,results/moead/cifar10/2026-09-05_23-26-35_18906049/search/
