algorithm,dataset,attack,evaluations,indicator,value,dir
moras,cifar10,FGSM,680,hv,156200.45938188292,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,680,r2,0.14413890562471593,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,680,hv_2obj,52.342154812293806,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,720,hv,156215.5404545374,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,720,r2,0.14413890562471593,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,720,hv_2obj,52.342154812293806,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,760,hv,156215.59116595561,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,760,r2,0.14413890562471593,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,760,hv_2obj,52.342154812293806,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,800,hv,156463.67572477186,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,800,r2,0.1437497774177423,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,800,hv_2obj,52.42678844026112,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,840,hv,156787.39573722685,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,840,r2,0.1437497774177423,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,840,hv_2obj,52.42678844026112,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,880,hv,156788.954089822,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,880,r2,0.1437497774177423,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,880,hv_2obj,52.42678844026112,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,920,hv,156800.29487597718,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,920,r2,0.1437497774177423,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,920,hv_2obj,52.42678844026112,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,960,hv,156801.198218705,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,960,r2,0.1437497774177423,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,960,hv_2obj,52.42678844026112,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1000,hv,156809.1601859449,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1000,r2,0.1437497774177423,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1000,hv_2obj,52.42678844026112,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1040,hv,156809.68181687113,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1040,r2,0.1437497774177423,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1040,hv_2obj,52.42678844026112,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1080,hv,156809.74827918387,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1080,r2,0.1437497774177423,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1080,hv_2obj,52.42678844026112,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1120,hv,157310.1775373242,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1120,r2,0.14295951027132908,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1120,hv_2obj,52.59827924765724,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1160,hv,157390.83941803605,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1160,r2,0.1427751508250632,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1160,hv_2obj,52.626172016681274,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1200,hv,157395.76173783618,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1200,r2,0.1427751508250632,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1200,hv_2obj,52.626300580779244,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1240,hv,157605.22766333786,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1240,r2,0.1423415136846704,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,1240,hv_2obj,52.69506183568134,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,40,hv,150779.46202997962,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,40,r2,0.14944788126752348,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,40,hv_2obj,51.42492811450978,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,80,hv,151073.46606685902,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,80,r2,0.14944788126752348,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,80,hv_2obj,51.42492811450978,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,120,hv,151526.71809014035,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,120,r2,0.14944788126752348,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,120,hv_2obj,51.42492811450978,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,160,hv,153053.5614205991,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,160,r2,0.1462671923154623,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,160,hv_2obj,51.93210955497065,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,200,hv,153983.98173736577,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
moras,cifar10,FGSM,200,r2,0.1454924240148111,results/moras/cifar10/2026-09-06_04-28-39_15798821/search/
