algorithm,dataset,attack,evaluations,indicator,value,dir
cars,cifar10,FGSM,720,r2,0.16469293744236982,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,720,hv_2obj,48.897073469914886,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,760,hv,145929.77812655017,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,760,r2,0.16417075913143422,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,760,hv_2obj,48.99298317958342,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,800,hv,146369.8378514768,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,800,r2,0.16366785039627096,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,800,hv_2obj,49.09322887519287,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,840,hv,146496.14597899074,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,840,r2,0.163381825516862,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,840,hv_2obj,49.13575105770448,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,880,hv,146717.81526400533,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,880,r2,0.1629558768637371,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,880,hv_2obj,49.210000936418716,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,920,hv,146859.66451048027,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,920,r2,0.1627075213362618,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,920,hv_2obj,49.25741033957387,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,960,hv,147121.27611561125,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,960,r2,0.1622305194015355,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,960,hv_2obj,49.345245837819505,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
