Key,Value
hyp_log,"[164307.49383688773, 166117.56863574017, 166697.78030067967, 166775.28223919516, 166859.62587830078, 166946.0537486, 167097.9725559414, 167330.90081624856, 167340.6724150144, 169164.5965395402, 172084.58712800755, 172147.71129665404, 172297.02768278884, 172308.59912549963, 172308.7360943544, 172311.05702355888, 172311.06437836768, 172311.43156139876, 172315.44384570143, 172317.91239206892, 172321.56696615135, 172329.61348932583, 172335.86016999948, 173325.3289132295, 173332.72148761724, 173917.11508071632, 173917.98924281215, 173918.12605465556, 173918.13157552807, 173918.15893899408]"
hyp2_log,"[56.07240070200518, 56.07240070200518, 56.07240070200518, 56.07240070200518, 56.07240070200518, 56.07240070200518, 56.07240070200518, 56.07240070200518, 56.07240070200518, 56.672829069255556, 57.615626295506395, 57.615626295506395, 57.615626295506395, 57.615626295506395, 57.615626295506395, 57.615626295506395, 57.615626295506395, 57.615626295506395, 57.615626295506395, 57.615626295506395, 57.615626295506395, 57.6158291380441, 57.6158291380441, 57.92575841215507, 57.92750038747457, 58.11976475531543, 58.11976475531543, 58.11976475531543, 58.11976475531543, 58.11976475531543]"
r2_log,"[0.13206131864505877, 0.13206131864505877, 0.13206131864505877, 0.13206131864505877, 0.13206131864505877, 0.13206131864505877, 0.13206131864505877, 0.13206131864505877, 0.13206131864505877, 0.12821333960418957, 0.12239486018019821, 0.12239486018019821, 0.12239486018019821, 0.12239486018019821, 0.12239486018019821, 0.12239486018019821, 0.12239486018019821, 0.12239486018019821, 0.12239486018019821, 0.12239486018019821, 0.12239486018019821, 0.12239486018019821, 0.12239486018019821, 0.12048142955079033, 0.12048142955079033, 0.11967763539592058, 0.11967763539592058, 0.11967763539592058, 0.11967763539592058, 0.11967763539592058]"
