Key,Value
max_f1,0
max_f2,0
max_f3,0
max_f4,0
min_f1,inf
min_f2,inf
min_f3,inf
min_f4,inf
hyp_log,"[64067.99312073368, 64349.71628975237, 64609.175906807264, 64910.5305479784, 65349.67843415538, 65619.54822147869, 66105.59109553098, 66336.04471716624, 66736.50740996558, 66914.37945949982, 67135.9284440559, 67483.01005332007, 67869.22710616405, 68163.16787662926, 68169.07370451879, 68391.29199856827, 68546.27777963658, 68885.74670174577, 68911.79435779926, 69123.44743697376, 69356.78348214788, 69424.18663027996, 69791.20012817452, 69900.85053610126, 70080.56743723984, 70162.99206774715, 70259.41447413577, 70370.19579818971, 70481.02826715446, 70627.22440936364, 70651.02269750729]"
hyp2_log,"[21.720057554591584, 21.821160681094902, 21.905501793598994, 22.00881221722843, 22.156311560096054, 22.23909388756259, 22.35685689152736, 22.433487045529436, 22.561786752373692, 22.621942959472086, 22.697705954503967, 22.7493720469922, 22.876915825539182, 22.97526400872347, 22.97563098883524, 23.037969715003328, 23.087407899132764, 23.203226229593007, 23.21056887307749, 23.28091379192384, 23.359818142770543, 23.382418449926174, 23.421423739239007, 23.456863447212932, 23.51812506999617, 23.546579662550872, 23.577071209202575, 23.614537545339022, 23.649058450448337, 23.699926188331478, 23.707737140744566]"
r2_log,"[np.float64(0.35364349995450056), np.float64(0.35273647451974527), np.float64(0.35202495280762236), np.float64(0.3511363935275268), np.float64(0.34994044295909843), np.float64(0.3492571485475727), np.float64(0.34825042274551), np.float64(0.34768824665281717), np.float64(0.3466025212358696), np.float64(0.34611548128633846), np.float64(0.345508216714993), np.float64(0.34507582269053144), np.float64(0.3440029473321986), np.float64(0.3432260811217469), np.float64(0.3432260811217469), np.float64(0.3427307499487205), np.float64(0.34234866817332865), np.float64(0.34144444743122476), np.float64(0.3413800763444001), np.float64(0.3408290635097343), np.float64(0.3401810217201742), np.float64(0.3400225217745228), np.float64(0.3396753347730884), np.float64(0.33935731624609955), np.float64(0.33892606766890676), np.float64(0.338692786155917), np.float64(0.3384706585954217), np.float64(0.3381723338521569), np.float64(0.3379279367437491), np.float64(0.33756783414832536), np.float64(0.33749684876595076)]"
