Key,Value
hyp_log,"[160595.58132708404, 161529.26996126128, 168374.9208168137, 168409.14148700572, 168632.70693684835, 170619.93272343397, 171143.6554670979, 171219.8702506419, 171328.07433888264, 171341.37001823884, 171847.6147974218, 172537.44118793448, 176815.69261088298, 176854.54314033996, 177382.28378795917, 177856.80191794856, 177861.73711824726, 177897.00862251563, 177899.60861207638, 178030.9283337841, 178384.6022999437, 178390.55126409844, 178482.7426268097, 178484.74628977434, 179022.33078228324, 179023.95730442464, 179023.96480613013, 179033.9510144843, 179259.02716024668, 179296.68745394397]"
hyp2_log,"[54.8238644190669, 54.911854354267575, 57.19439826956665, 57.20568724338969, 57.26322703782404, 57.75172380988484, 57.75172380988484, 57.75176132654422, 57.75600128629708, 57.75600128629708, 57.828216869160066, 58.06050871726938, 59.50544762288167, 59.51761937524426, 59.51761937524426, 59.674816733927855, 59.674816733927855, 59.674816733927855, 59.674816733927855, 59.674816733927855, 59.78049873365458, 59.78049873365458, 59.81134970361042, 59.81134970361042, 59.98929142882035, 59.98929142882035, 59.98929142882035, 59.98929142882035, 59.98937456008748, 60.002449252375584]"
r2_log,"[0.13882916127567452, 0.1383043977658255, 0.1240918110163752, 0.12404405625242265, 0.12380229425627223, 0.12180108473775568, 0.12180108473775568, 0.12180108473775568, 0.12180108473775568, 0.12180108473775568, 0.12146147273207508, 0.12053932213335976, 0.11165361040471825, 0.11153827709086431, 0.11153827709086431, 0.11095823330803667, 0.11095823330803667, 0.11095823330803667, 0.11095823330803667, 0.11095823330803667, 0.11044831520814499, 0.11044831520814499, 0.11032216939353781, 0.11032216939353781, 0.10943167397249132, 0.10943167397249132, 0.10943167397249132, 0.10943167397249132, 0.10943167397249132, 0.10938900741092514]"
