Key,Value
hyp_log,"[68293.05200128719, 69535.08488939825, 69805.15411113853, 70484.3576131004, 71122.9303307525, 71210.7392397101, 72297.49668426445, 72316.89545742467, 72338.21701191779, 72351.75681027999, 72596.81843160029, 72618.05114939649, 72626.29468468492, 72626.52226758846, 72826.59626067229, 72831.42780730498, 73093.79194916291, 73097.14040139873, 73102.02849417475, 73828.91314914395, 73829.25412694496, 74202.50639901236, 74294.5138571592, 74295.02708883851, 74299.15403836984, 74482.06037313037, 74941.85934268968, 74945.36088494741, 74995.55905889654, 74999.05501770739, 75002.04082612906]"
hyp2_log,"[23.34900723944299, 23.717398109962208, 23.717398109962208, 23.950620280190922, 24.107726181309282, 24.117025187065355, 24.440661996350027, 24.440661996350027, 24.440661996350027, 24.440661996350027, 24.440661996350027, 24.440661996350027, 24.440661996350027, 24.440661996350027, 24.50418198894799, 24.50418198894799, 24.59212199404121, 24.592134593615704, 24.592134593615704, 24.833012848307952, 24.8330640805817, 24.93980652109731, 24.93980652109731, 24.93980652109731, 24.93980652109731, 25.002243939606988, 25.160438530142095, 25.160438530142095, 25.177721206692386, 25.177721206692386, 25.177721206692386]"
r2_log,"[np.float64(0.3391123646465462), np.float64(0.33606909460572176), np.float64(0.33606909460572176), np.float64(0.33387165988802076), np.float64(0.3327751665815848), np.float64(0.33266263710732613), np.float64(0.3300483901368393), np.float64(0.3300483901368393), np.float64(0.3300483901368393), np.float64(0.3300483901368393), np.float64(0.3300483901368393), np.float64(0.3300483901368393), np.float64(0.3300483901368393), np.float64(0.3300483901368393), np.float64(0.3296133551194341), np.float64(0.3296133551194341), np.float64(0.3290048783612305), np.float64(0.3290048783612305), np.float64(0.3290048783612305), np.float64(0.3267184953245639), np.float64(0.3267184953245639), np.float64(0.32587805543118287), np.float64(0.32587805543118287), np.float64(0.32587805543118287), np.float64(0.32587805543118287), np.float64(0.32528069399219967), np.float64(0.32383934264128306), np.float64(0.32383934264128306), np.float64(0.32372173956218797), np.float64(0.32372173956218797), np.float64(0.32372173956218797)]"
