Key,Value
hyp_log,"[176277.19612883875, 176883.74558901187, 177026.56042644993, 177595.18605972582, 177599.51776851396, 177619.18320063766, 177688.32899720257, 177688.33661717805, 177688.33943104933, 177688.33943107736, 177688.77046955714, 177689.6087082844, 177693.16086219603, 177696.38423208392, 177696.38423208392, 177696.38423208392, 177696.38423208392, 177696.38425557603, 177696.38425557603, 177696.38477594202, 177706.7513754318, 177706.75167123767, 177706.75167123962, 177708.32422998687, 177708.32422998687, 177708.32422998687, 177708.32431634763, 177708.32479500413, 177708.32592246227, 177708.32592246227]"
hyp2_log,"[35.78292631909456, 35.78381539961197, 35.78381539961197, 35.78381539961197, 35.78467817807869, 35.78863782245065, 35.78863782245065, 35.78863782245065, 35.78863782245065, 35.78863782245065, 35.78863831096821, 35.78880578289405, 35.78948247444248, 35.790131698863675, 35.790131698863675, 35.790131698863675, 35.790131698863675, 35.790131703589, 35.790131703589, 35.79013180839448, 35.79221975939329, 35.792219818965336, 35.792219818965336, 35.79253667405647, 35.79253667405647, 35.79253667405647, 35.79253669145054, 35.79253678780497, 35.792537015296354, 35.792537015296354]"
r2_log,"[0.0030244041980796305, 0.0028263770272802455, 0.0027914688617208484, 0.002656525622741512, 0.0026479953242695697, 0.002608562322396388, 0.0025915821369519123, 0.0025915821369519123, 0.0025915821369519123, 0.0025915821369519123, 0.0025870984259208853, 0.002585453824724503, 0.0025804363645538075, 0.0025740447649134092, 0.0025740447649134092, 0.0025740447649134092, 0.0025740447649134092, 0.0025740447649134092, 0.0025740447649134092, 0.0025740447649134092, 0.002562395105278144, 0.002562395105278144, 0.002562395105278144, 0.0025606267029422156, 0.0025606267029422156, 0.0025606267029422156, 0.0025606267029422156, 0.0025606267029422156, 0.0025606267029422156, 0.0025606267029422156]"
