Key,Value
hyp_log,"[67186.71964296073, 68881.10296671429, 68958.3033048157, 70967.16193007438, 70990.55938709337, 71133.60268677871, 71839.97169666359, 71846.71563833098, 71900.82533415209, 72015.24841993129, 72023.88253254883, 72026.54489972079, 72301.01267713061, 72358.69139225941, 72445.27237819672, 72492.55353962489, 72494.24273724052, 72497.03481956261, 72550.04422440942, 72561.46744271586, 72582.39115414381, 72621.25332924505, 72966.48555035074, 73300.43005934283, 73300.46099216888, 73819.8345226109, 74264.14755507786, 74337.78746279595, 74612.60551457622, 74663.2987963514, 74784.0380062333]"
hyp2_log,"[22.964475919026263, 23.387396147993304, 23.39486965950931, 23.9893245367932, 23.9893245367932, 24.0354333786831, 24.270974533726733, 24.270974533726733, 24.270974533726733, 24.270974533726733, 24.270974533726733, 24.271281364872735, 24.360856208581083, 24.37656146712231, 24.38207329885918, 24.382196128957375, 24.382196128957375, 24.382196128957375, 24.383030317314542, 24.383956092238957, 24.3864655485769, 24.396383061008546, 24.517069943330053, 24.624958333371534, 24.624958333371534, 24.806603626643696, 24.956624996832222, 24.978039274449532, 25.069965917366936, 25.069965917366936, 25.111641600909998]"
r2_log,"[np.float64(0.34227574844230607), np.float64(0.3389698732188699), np.float64(0.3388996159538353), np.float64(0.33400546381192425), np.float64(0.33400546381192425), np.float64(0.333609443183818), np.float64(0.3314027220344197), np.float64(0.3314027220344197), np.float64(0.3314027220344197), np.float64(0.3314027220344197), np.float64(0.3314027220344197), np.float64(0.33139686741913965), np.float64(0.33073986420234347), np.float64(0.3306330187160093), np.float64(0.3305993603877754), np.float64(0.3305993603877754), np.float64(0.3305993603877754), np.float64(0.3305993603877754), np.float64(0.3305993603877754), np.float64(0.3305941209098481), np.float64(0.3305903356205284), np.float64(0.33052068946866464), np.float64(0.32941207814928647), np.float64(0.32867553243085756), np.float64(0.32867553243085756), np.float64(0.3274035805217075), np.float64(0.3260038702055267), np.float64(0.3258547037245561), np.float64(0.32515599274993046), np.float64(0.32515599274993046), np.float64(0.32473366111370827)]"
