Key,Value
hyp_log,"[68201.88414678478, 68219.01638150582, 69459.91110020322, 70129.31221785792, 70721.92754328623, 70823.50025565735, 71392.9231077119, 72053.27704423017, 72061.45770190038, 72080.66461300774, 72087.71560218943, 72211.34494018262, 72260.56166221667, 72312.70493729622, 72314.47285602766, 72347.7033244105, 72354.68075424532, 72356.80776884478, 72357.31103847493, 72365.25114424908, 72733.3405052492, 72739.95837927844, 72764.99420848057, 72800.94034148859, 72804.92134035088, 72807.92091192894, 72967.46726220727, 72969.16803478774, 73012.44477535738, 73022.80297300543, 73081.19713971479]"
hyp2_log,"[23.31933809439559, 23.319447760077836, 23.612925977322348, 23.838863125496957, 24.040281062167498, 24.040281062167498, 24.192053148578946, 24.378719617232324, 24.378719617232324, 24.381261711562228, 24.381261711562228, 24.381261711562228, 24.381261711562228, 24.39671814220385, 24.39671814220385, 24.39671814220385, 24.39671814220385, 24.39671814220385, 24.39671814220385, 24.39671814220385, 24.502932140881928, 24.503938901774454, 24.511109885746603, 24.51178074845923, 24.51178074845923, 24.51178074845923, 24.561014439447987, 24.561014439447987, 24.561014439447987, 24.561014439447987, 24.561014439447987]"
r2_log,"[np.float64(0.3394731777944157), np.float64(0.3394731777944157), np.float64(0.3371841389612212), np.float64(0.33499718749765195), np.float64(0.3335879248319082), np.float64(0.3335879248319082), np.float64(0.33255376322760644), np.float64(0.3307904069181443), np.float64(0.3307904069181443), np.float64(0.33075959851387765), np.float64(0.33075959851387765), np.float64(0.33075959851387765), np.float64(0.33075959851387765), np.float64(0.3306161184122579), np.float64(0.3306161184122579), np.float64(0.3306161184122579), np.float64(0.3306161184122579), np.float64(0.3306161184122579), np.float64(0.3306161184122579), np.float64(0.3306161184122579), np.float64(0.3298669227526102), np.float64(0.3298669227526102), np.float64(0.32981629567608856), np.float64(0.32981629567608856), np.float64(0.32981629567608856), np.float64(0.32981629567608856), np.float64(0.3295021774540633), np.float64(0.3295021774540633), np.float64(0.3295021774540633), np.float64(0.3295021774540633), np.float64(0.3295021774540633)]"
