Key,Value
hyp_log,"[151132.09147103992, 151253.11803159924, 151497.44422694747, 151978.38133882187, 154549.38855165668, 154588.83545183754, 154721.22146794386, 155157.95737319582, 155612.3546893141, 155654.29736374476, 155684.77635372418, 155913.76396535517, 156023.00266280601, 156197.56349029305, 156331.07372005383, 156535.20646354393, 156701.95586222995, 157099.62853904665, 157106.60716315507, 157112.037071604, 157114.75074834572, 157117.58535158346, 158143.9079911831, 158150.52774443015, 158153.90310307726, 158157.63046715004, 158158.10167883663, 158159.13734651354, 158166.56827139133, 158167.01993616082, 158167.2257507069]"
hyp2_log,"[51.54115731520892, 51.54115731520892, 51.54115731520892, 51.61860106065907, 52.34649135032801, 52.34649135032801, 52.34649135032801, 52.34649135032801, 52.34649135032801, 52.34649135032801, 52.34649135032801, 52.41988220862105, 52.41988220862105, 52.41988220862105, 52.42678444971097, 52.42678444971097, 52.47788881062658, 52.5446907606641, 52.54498197242013, 52.54498197242013, 52.54498197242013, 52.54498197242013, 52.90582725946901, 52.90582725946901, 52.90582725946901, 52.90582725946901, 52.90582725946901, 52.90582725946901, 52.90582725946901, 52.90582725946901, 52.90582725946901]"
r2_log,"[np.float64(0.1493629113920637), np.float64(0.1493629113920637), np.float64(0.1493629113920637), np.float64(0.14884579743427678), np.float64(0.14463990939246876), np.float64(0.14463990939246876), np.float64(0.14463990939246876), np.float64(0.14463990939246876), np.float64(0.14463990939246876), np.float64(0.14463990939246876), np.float64(0.14463990939246876), np.float64(0.14423860216903658), np.float64(0.14423860216903658), np.float64(0.14423860216903658), np.float64(0.14419287548948584), np.float64(0.14419287548948584), np.float64(0.14395991556896287), np.float64(0.1435130078649382), np.float64(0.1435130078649382), np.float64(0.1435130078649382), np.float64(0.1435130078649382), np.float64(0.1435130078649382), np.float64(0.1411500603539634), np.float64(0.1411500603539634), np.float64(0.1411500603539634), np.float64(0.1411500603539634), np.float64(0.1411500603539634), np.float64(0.1411500603539634), np.float64(0.1411500603539634), np.float64(0.1411500603539634), np.float64(0.1411500603539634)]"
