Key,Value
hyp_log,"[68293.05200128719, 68508.11346696386, 68528.5857571397, 68859.21110597538, 68860.92873272827, 68960.77642961874, 68960.77642961874, 69161.02812183902, 69161.02812183902, 69161.02812183902, 69161.02812183902, 69300.3862280813, 69300.3862280813, 69393.13620921325, 69394.51957927262, 69397.38818650594, 69399.20420745546, 69399.20420745546, 69399.20420745546, 69674.5311425706, 69682.73092710057, 69682.76322311469, 69684.318612507, 69685.6696136191, 69685.6696136191, 69685.6696136191, 69685.6696136191, 69685.67305803472, 69686.54672180122, 69716.5344589574, 69716.5344589574]"
hyp2_log,"[23.34900723944299, 23.34900723944299, 23.349048672448863, 23.37412320293538, 23.37412320293538, 23.406840351867405, 23.406840351867405, 23.47462970502576, 23.47462970502576, 23.47462970502576, 23.47462970502576, 23.521918286510076, 23.521918286510076, 23.521918286510076, 23.521918286510076, 23.521954744387195, 23.52219881941996, 23.52219881941996, 23.52219881941996, 23.52219881941996, 23.52219881941996, 23.52219881941996, 23.52219881941996, 23.52219881941996, 23.52219881941996, 23.52219881941996, 23.52219881941996, 23.52219881941996, 23.52219881941996, 23.52219881941996, 23.52219881941996]"
r2_log,"[np.float64(0.3391123646465462), np.float64(0.3391123646465462), np.float64(0.3391123646465462), np.float64(0.338935621973638), np.float64(0.338935621973638), np.float64(0.3387040732517118), np.float64(0.3387040732517118), np.float64(0.3382256249191101), np.float64(0.3382256249191101), np.float64(0.3382256249191101), np.float64(0.3382256249191101), np.float64(0.3378845306349679), np.float64(0.3378845306349679), np.float64(0.3378845306349679), np.float64(0.3378845306349679), np.float64(0.3378845306349679), np.float64(0.3378845306349679), np.float64(0.3378845306349679), np.float64(0.3378845306349679), np.float64(0.3378845306349679), np.float64(0.3378845306349679), np.float64(0.3378845306349679), np.float64(0.3378845306349679), np.float64(0.3378845306349679), np.float64(0.3378845306349679), np.float64(0.3378845306349679), np.float64(0.3378845306349679), np.float64(0.3378845306349679), np.float64(0.3378845306349679), np.float64(0.3378845306349679), np.float64(0.3378845306349679)]"
