Key,Value
max_f1,4.491414935500534
max_f2,4.719778149216263
max_f3,46.4988
max_f4,0.161
min_f1,3.936970843209161
min_f2,4.139553176032172
min_f3,8.2135
min_f4,0.0296
hyp_log,"[67395.57751048672, 67999.54350156059, 69408.80287763893, 70852.18853182718, 70889.58342396675, 71401.11595562552, 71426.48162617155, 71519.7041179121, 71523.86809367409, 71528.45674053096, 71679.81801255723, 71686.83444263469, 71687.07382765437, 71687.38833239529, 71847.41896716821, 71857.52271675099, 71860.1456244027, 71863.77435101669, 72142.22478042587, 73105.10486602607, 73105.97838620566, 73112.76186908945, 73112.76186908945, 73116.8488903408, 73120.05622416192, 73120.16689199736, 73121.87612771425, 73248.5030384419, 73248.59733027527, 73251.12732796403, 73254.15784286824]"
hyp2_log,"[23.031218053239897, 23.15746412563731, 23.593227807116335, 23.973040671600703, 23.973040671600703, 24.142741629203943, 24.142986554011042, 24.142986554011042, 24.143413350495813, 24.143413350495813, 24.143413350495813, 24.144727331625674, 24.144748331258075, 24.144748331258075, 24.167461842035042, 24.167461842035042, 24.167461842035042, 24.168282003554417, 24.26301842926147, 24.588309406351847, 24.588309406351847, 24.590616008635642, 24.590616008635642, 24.59180439827526, 24.59180439827526, 24.59180439827526, 24.592326394543228, 24.592326394543228, 24.592326394543228, 24.592326394543228, 24.59283778259194]"
r2_log,"[np.float64(0.19672557598253276), np.float64(0.19592617048729555), np.float64(0.19372799235084567), np.float64(0.19168743043379266), np.float64(0.19166551820226074), np.float64(0.1908503666071829), np.float64(0.19083610875965376), np.float64(0.19076358370318752), np.float64(0.19076358370318752), np.float64(0.19076358370318752), np.float64(0.19065572545054954), np.float64(0.19065572545054954), np.float64(0.19065572545054954), np.float64(0.19065572545054954), np.float64(0.1904811702042042), np.float64(0.1904811702042042), np.float64(0.1904811702042042), np.float64(0.1904811702042042), np.float64(0.19002417178344683), np.float64(0.18843719430054362), np.float64(0.18843719430054362), np.float64(0.18843719430054362), np.float64(0.18843719430054362), np.float64(0.18843719430054362), np.float64(0.18843719430054362), np.float64(0.18843719430054362), np.float64(0.18843719430054362), np.float64(0.18833938883923612), np.float64(0.18833938883923612), np.float64(0.18833938883923612), np.float64(0.18833938883923612)]"
hyp_acc_log,[]
hyp2_acc_log,"[44.687999999999974, 45.27680000000002, 56.23200000000004, 64.7344, 64.7344, 66.08880000000006, 66.08880000000006, 66.08880000000006, 66.08880000000006, 66.08880000000006, 66.08880000000006, 66.08880000000006, 66.08880000000006, 66.08880000000006, 66.63840000000006, 67.308, 67.308, 72.40719999999996, 72.40719999999996, 72.42159999999996, 72.42159999999996, 72.42159999999996, 72.42159999999996, 73.02799999999996, 73.04079999999996, 73.04079999999996, 75.32079999999993, 75.32079999999993, 75.32079999999993, 75.32079999999993, 75.35839999999993]"
total_time_search,20208.934747457504
