Key,Value
max_f1,4.374623651857729
max_f2,4.558409390626131
max_f3,39.5725
max_f4,0.137
min_f1,3.9401161758987993
min_f2,4.072322280318649
min_f3,9.4136
min_f4,0.0345
hyp_log,"[68693.94237451027, 69033.76677451047, 69154.14648797389, 69247.51628039457, 69689.49198624874, 71166.57795499354, 71216.8750869326, 71219.50603788703, 71451.47078849263, 72012.01636129331, 72181.104851447, 72980.08866901838, 72997.43416786827, 73686.6803588543, 73688.62079593944, 73694.07747739887, 73700.28717544957, 73721.37347008637, 73721.9001027022, 73724.0527718066, 73969.14352581096, 73981.36405843357, 73986.47172097652, 73987.77369463179, 73993.63599910497, 73999.08260457587, 73999.84526366595, 74000.87258241672, 74003.76149314964, 74008.04426177258, 74010.97450229562]"
hyp2_log,"[23.494944370674776, 23.535529241567758, 23.535529241567758, 23.56489117467494, 23.577177563761722, 24.01501023689549, 24.021427168420797, 24.02234871931039, 24.06896000499127, 24.26658093520379, 24.31898449563886, 24.598803654569398, 24.60127040449574, 24.84111378200782, 24.84111378200782, 24.841624085216452, 24.841913842873314, 24.846210498982238, 24.846210498982238, 24.846210498982238, 24.930995106433745, 24.930995106433745, 24.930995106433745, 24.930995106433745, 24.93167350936673, 24.93167350936673, 24.93167350936673, 24.93167350936673, 24.93167350936673, 24.93167350936673, 24.93167350936673]"
r2_log,"[np.float64(0.19447438124685848), np.float64(0.1941536488404046), np.float64(0.19407915511273247), np.float64(0.19393662494755315), np.float64(0.1935621810275718), np.float64(0.19134115111148284), np.float64(0.19129036933968263), np.float64(0.19129036933968263), np.float64(0.19098857263444052), np.float64(0.19005270304283572), np.float64(0.18981067824818393), np.float64(0.18851347770517948), np.float64(0.18851347770517948), np.float64(0.1873730520501961), np.float64(0.1873730520501961), np.float64(0.1873730520501961), np.float64(0.1873730520501961), np.float64(0.18736627819496268), np.float64(0.18736627819496268), np.float64(0.18736627819496268), np.float64(0.1869742150310074), np.float64(0.1869742150310074), np.float64(0.1869742150310074), np.float64(0.1869742150310074), np.float64(0.1869742150310074), np.float64(0.1869742150310074), np.float64(0.1869742150310074), np.float64(0.1869742150310074), np.float64(0.1869742150310074), np.float64(0.1869742150310074), np.float64(0.1869742150310074)]"
hyp_acc_log,[]
hyp2_acc_log,"[47.67839999999998, 47.67839999999998, 48.267199999999974, 50.7216, 55.62639999999998, 68.19199999999998, 68.74679999999998, 68.74679999999998, 70.51920000000008, 71.38440000000007, 71.38440000000007, 79.74039999999997, 81.42759999999997, 86.4804, 86.4804, 86.4804, 86.4804, 87.18760000000002, 87.18760000000002, 87.18760000000002, 87.18760000000002, 87.18760000000002, 91.27239999999996, 91.27239999999996, 91.27239999999996, 91.27239999999996, 91.27239999999996, 91.27239999999996, 91.27239999999996, 91.27239999999996, 91.27239999999996]"
total_time_search,21876.506768226624
