Key,Value
hyp_log,"[67395.57751048672, 67474.43200347769, 67575.5135666215, 67577.13400981713, 67577.43051579192, 67577.62117716775, 67577.62117716775, 67577.72871337453, 67579.35430022988, 67579.95433407967, 67579.95839867495, 67581.32077081314, 67581.32077081314, 67582.69633531854, 67582.69633531854, 67582.69633531854, 67764.67787691386, 67766.33468864458, 67766.72899409496, 67766.78188551588, 67767.9191176831, 67768.36832739851, 67769.03244140759, 67769.03244140759, 67828.14835037258, 67828.57672555547, 67828.57672555547, 67828.57672555547, 67844.9191807339, 67844.92671238982, 67845.25489709197]"
hyp2_log,"[23.031218053239897, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103, 23.048214175254103]"
r2_log,"[np.float64(0.34216859461221477), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608), np.float64(0.3419995164694608)]"
