Key,Value
hyp_log,"[149759.33352529255, 150906.10946396575, 150942.90688000878, 151580.47036631368, 152040.25761068094, 152284.16103293194, 152418.95354490433, 153685.52232338284, 153852.8866556059, 155030.61114793937, 155034.1539359999, 155057.34628168732, 155064.78217812587, 155998.55452903264, 157034.03216511753, 157102.8659745236, 157106.47184209086, 157317.95000023127, 157523.20291139817, 157524.74026837014, 157526.76988638772, 157533.06142158946, 157540.44577830334, 157542.29668449314, 157685.57223673875, 157686.6634384671, 157687.3790601652, 157691.44348980137, 158353.21259660495, 158358.0202358276, 158359.00744663674]"
hyp2_log,"[51.06230700010495, 51.18335438401305, 51.18335438401305, 51.23162858926974, 51.3814671413291, 51.39169481045871, 51.43407540335507, 51.78846778099898, 51.78846778099898, 52.03975212770119, 52.040639864503994, 52.04575079694137, 52.04575079694137, 52.36313572899978, 52.7141876343243, 52.7141876343243, 52.7141876343243, 52.7141876343243, 52.7141876343243, 52.7141876343243, 52.7141876343243, 52.7141876343243, 52.7141876343243, 52.7141876343243, 52.7141876343243, 52.7141876343243, 52.7141876343243, 52.7141876343243, 52.937603774131674, 52.937603774131674, 52.937603774131674]"
r2_log,"[np.float64(0.15165202916699677), np.float64(0.15108882969959117), np.float64(0.15108882969959117), np.float64(0.15086548536728234), np.float64(0.14989124413103436), np.float64(0.1498428464403129), np.float64(0.1496415126803093), np.float64(0.14797286317035413), np.float64(0.14797286317035413), np.float64(0.14630243099923265), np.float64(0.14630243099923265), np.float64(0.14630243099923265), np.float64(0.14630243099923265), np.float64(0.14420285193738783), np.float64(0.14241291277922227), np.float64(0.14241291277922227), np.float64(0.14241291277922227), np.float64(0.14241291277922227), np.float64(0.14241291277922227), np.float64(0.14241291277922227), np.float64(0.14241291277922227), np.float64(0.14241291277922227), np.float64(0.14241291277922227), np.float64(0.14241291277922227), np.float64(0.14241291277922227), np.float64(0.14241291277922227), np.float64(0.14241291277922227), np.float64(0.14241291277922227), np.float64(0.1409377091325468), np.float64(0.1409377091325468), np.float64(0.1409377091325468)]"
