Key,Value
max_f1,0
max_f2,0
max_f3,0
max_f4,0
min_f1,inf
min_f2,inf
min_f3,inf
min_f4,inf
hyp_log,"[63353.32741133795, 63553.675066244126, 63660.47537016444, 64026.14775285121, 64201.55598216372, 64430.284854949125, 64591.128539104306, 64895.29977263792, 65102.135188231434, 65404.83552581778, 65579.26593489994, 65876.37863988735, 66190.28035430211, 66454.39334931647, 66724.73526050561, 66917.87302358697, 67016.62998167452, 67155.4224988163, 67513.02465024639, 67708.66886948376, 67842.24483904989, 68115.99897372973, 68157.78412073969, 68439.54093787457, 68732.34861554205, 68878.35228698995, 69042.05769457405, 69074.17765245932, 69334.6380631923, 69341.54135815299, 69446.23865804858]"
hyp2_log,"[21.474765962289073, 21.543873674679777, 21.5746734320521, 21.70289364252866, 21.762002755683344, 21.840442506046475, 21.895506643266824, 21.995984433333945, 22.06607922681886, 22.168800009997515, 22.2194653345771, 22.31792587025722, 22.423972255552115, 22.513526360059434, 22.6050533938068, 22.669882786101372, 22.702843928706915, 22.744843394166267, 22.866007637122035, 22.93222843231043, 22.97400180001601, 23.06674622005053, 23.075184126246814, 23.169941431858575, 23.22305485678572, 23.269448490221368, 23.321235819786992, 23.330836536976634, 23.42086149160649, 23.420934149964644, 23.456915147914923]"
r2_log,"[np.float64(0.3556053641095692), np.float64(0.35506910738933206), np.float64(0.3548026768186417), np.float64(0.35370444058645845), np.float64(0.35318864064615946), np.float64(0.352525243524896), np.float64(0.35209863031042116), np.float64(0.3512391102480829), np.float64(0.35068566899269604), np.float64(0.34980054970331553), np.float64(0.3493933809771104), np.float64(0.3486015682048787), np.float64(0.3477094398671528), np.float64(0.3469694600357599), np.float64(0.3462137088089897), np.float64(0.345711541014267), np.float64(0.34544141365904296), np.float64(0.3451458847897481), np.float64(0.3441048416060838), np.float64(0.3436319840256742), np.float64(0.34322931197626416), np.float64(0.34252283639250547), np.float64(0.3424458166235396), np.float64(0.3416883024263923), np.float64(0.3412279040360459), np.float64(0.34090304507312685), np.float64(0.34052253446934855), np.float64(0.3404555204047994), np.float64(0.33972943044248266), np.float64(0.33972943044248266), np.float64(0.3394735145017991)]"
