Key,Value
max_f1,0.1438937735863221
max_f2,0.04255157097792014
max_f3,52.5117
max_f4,0.1899
min_f1,0.012835578658641914
min_f2,0.020538889167782588
min_f3,7.6442
min_f4,0.0271
hyp_log,"[177800.2062282783, 177868.75384538496, 177982.22188553112, 177982.801893906, 177982.9095865975, 178463.6781128132, 178463.82274707782, 178473.59616196033, 178498.8131260906, 178498.8131284407, 178507.3844773303, 178507.3993827963, 178513.75129329538, 178513.76043175094, 178513.78390565488, 178513.78390565488, 178537.43704190443, 178537.44705005173, 178537.4485134459, 178537.4695335003, 178537.46953350023, 178537.4695350711, 178537.4695353178, 178537.469536963, 178537.48362601828, 178537.48362601828, 178537.48362601828, 178537.48362601828, 178537.48362601828, 178537.50112420358]"
hyp2_log,"[35.76857292282241, 35.78247158334883, 35.782471969509345, 35.78258741601729, 35.78258741601729, 35.78532688698296, 35.78532688698296, 35.78722607362431, 35.79229890983594, 35.79229890983594, 35.79400729779333, 35.79400729779333, 35.795270812635295, 35.795270812635295, 35.795270812635295, 35.795270812635295, 35.80001682156893, 35.80001682156893, 35.80001682156893, 35.80001682156893, 35.80001682156893, 35.80001682156893, 35.80001682156893, 35.80001682156893, 35.80001682156893, 35.80001682156893, 35.80001682156893, 35.80001682156893, 35.80001682156893, 35.80001682156893]"
r2_log,"[np.float64(0.0027684932797815824), np.float64(0.0026790675804582607), np.float64(0.002624158091126435), np.float64(0.0026232870063683526), np.float64(0.002623078481261586), np.float64(0.002464486099679282), np.float64(0.0024584573009051253), np.float64(0.002432104242356695), np.float64(0.002391674825957789), np.float64(0.002391674825957789), np.float64(0.0023828179861512437), np.float64(0.002379470095678658), np.float64(0.0023726674034113557), np.float64(0.0023726674034113557), np.float64(0.002372606976557867), np.float64(0.002372606976557867), np.float64(0.002337211867810431), np.float64(0.002337211867810431), np.float64(0.002337211867810431), np.float64(0.002337211867810431), np.float64(0.002337211867810431), np.float64(0.002337211867810431), np.float64(0.002337211867810431), np.float64(0.002337211867810431), np.float64(0.0023370338435771956), np.float64(0.0023370338435771956), np.float64(0.0023370338435771956), np.float64(0.0023370338435771956), np.float64(0.0023370338435771956), np.float64(0.0023360737315538927)]"
hyp_acc_log,"[1412784.4664132134, 1526139.1542306012, 1562252.1809706995, 1630153.3476088878, 1634152.5996402467, 1859727.7772332903, 1860714.6633008004, 1861868.2740450809, 1862668.9746105715, 1862800.093887213, 1870506.9806602441, 1923778.5790271892, 1967783.6687940727, 1967840.679686246, 2028525.152141359, 2028553.9867901653, 2273086.4897075435, 2273185.408611412, 2273461.2615953945, 2273545.432098414, 2273545.432098414, 2273562.022162631, 2273562.342031183, 2273611.675356625, 2273734.2080679145, 2273734.2080679145, 2273734.2080679145, 2273734.2080679145, 2273734.2080679145, 2273795.102464402]"
hyp2_acc_log,"[287.308732433432, 309.8380806726661, 315.2530747914613, 328.76873831463683, 329.44870446560657, 373.95024346646943, 373.95024346646943, 373.95024346646943, 373.95024346646943, 373.95024346646943, 375.4342685476249, 386.1977240507891, 394.98190694855356, 394.98190694855356, 407.14889014731244, 407.14889014731244, 456.221300234221, 456.221300234221, 456.221300234221, 456.221300234221, 456.221300234221, 456.221300234221, 456.221300234221, 456.221300234221, 456.221300234221, 456.221300234221, 456.221300234221, 456.221300234221, 456.221300234221, 456.221300234221]"
total_time_search,182355.06728839874
