Key,Value
max_f1,0
max_f2,0
max_f3,0
max_f4,0
min_f1,inf
min_f2,inf
min_f3,inf
min_f4,inf
hyp_log,"[164571.188156467, 164592.3450676897, 164592.52157147505, 164594.95563032455, 164598.30025522446, 164616.2850561078, 164692.0501169541, 165028.887965127, 165315.4206894644, 166058.02652213705, 166058.0313430425, 166058.49314409183, 166201.22155810075, 166201.27041099037, 166209.32986804485, 166489.73102900255]"
hyp2_log,"[35.899771133257545, 35.903851567342045, 35.903851567342045, 35.90418953993744, 35.90442398409398, 35.90721788962484, 35.912646236750575, 35.91325169604536, 35.91393805210771, 35.91404772112074, 35.91404772112074, 35.91404786742919, 35.91404786742919, 35.91404786742919, 35.91577311824856, 35.91577311824856]"
r2_log,"[0.007602802577431839, 0.007585106646468898, 0.007585106646468898, 0.007583866987611594, 0.0075827610116471905, 0.007569579030889249, 0.007524612324237028, 0.00738403549959746, 0.007261112560828897, 0.00694214841903022, 0.00694214841903022, 0.00694214841903022, 0.0068806328491153295, 0.0068806328491153295, 0.006874304788234904, 0.006756579705370938]"
