Key,Value
hyp_log,"[151748.50125811962, 151889.98527125517, 152552.92712613984, 152744.89350088255, 153834.95414059938, 154588.97233046405, 154610.32958436865, 154636.88163558353, 154743.02281114203, 154998.97630177284, 155180.56305417634, 155186.56881935213, 155200.19332196546, 155804.10490584976, 155811.08743544936, 155816.12215076163, 155821.57999570674, 156378.29033204736, 156379.28859623926, 156380.03769560927, 156393.23532971728, 157081.17971999224, 157082.26334182607, 157084.29659758433, 157087.21284576773, 157093.7397014746, 157093.92999923552, 157302.89657029096, 157429.98827050749, 157430.99981157263, 157431.33737929616]"
hyp2_log,"[51.74817038768766, 51.74817038768766, 51.74817038768766, 51.799131752925724, 52.07998576294286, 52.07998576294286, 52.07998576294286, 52.07998576294286, 52.07998576294286, 52.16576113576768, 52.16576113576768, 52.16576113576768, 52.16637902053487, 52.29653126892523, 52.29653126892523, 52.29653126892523, 52.29653126892523, 52.49098112762142, 52.49098112762142, 52.49098112762142, 52.49098112762142, 52.73073340576564, 52.73073340576564, 52.73073340576564, 52.73073340576564, 52.731072369770146, 52.731072369770146, 52.73162337524634, 52.73162337524634, 52.73162337524634, 52.73162337524634]"
r2_log,"[np.float64(0.14793717693256142), np.float64(0.14793717693256142), np.float64(0.14793717693256142), np.float64(0.1476118518017117), np.float64(0.14579039749537206), np.float64(0.14579039749537206), np.float64(0.14579039749537206), np.float64(0.14579039749537206), np.float64(0.14579039749537206), np.float64(0.14524335721360043), np.float64(0.14524335721360043), np.float64(0.14524335721360043), np.float64(0.14522653401456298), np.float64(0.14459679002624495), np.float64(0.14459679002624495), np.float64(0.14459679002624495), np.float64(0.14459679002624495), np.float64(0.1433549259591819), np.float64(0.1433549259591819), np.float64(0.1433549259591819), np.float64(0.1433549259591819), np.float64(0.14224398884630146), np.float64(0.14224398884630146), np.float64(0.14224398884630146), np.float64(0.14224398884630146), np.float64(0.14224398884630146), np.float64(0.14224398884630146), np.float64(0.14224398884630146), np.float64(0.14224398884630146), np.float64(0.14224398884630146), np.float64(0.14224398884630146)]"
