Key,Value
max_f1,2.3552090768460876
max_f2,2.3737489029213235
max_f3,46.8936
max_f4,0.1521
min_f1,1.7089027828640408
min_f2,1.9225356534675315
min_f3,9.5708
min_f4,0.0248
hyp_log,"[149821.2914988057, 150701.21703021767, 150705.24499975613, 150721.0448391647, 151202.59851417638, 151207.89791294734, 151211.7162212313, 151211.7162212313, 151510.99400855807, 151512.07496721318, 151513.27212863855, 151519.96917774662, 151519.96917774662, 151526.16692661762, 151526.9359159733, 151527.03676792845, 151986.42227338554, 151991.18780724367, 151991.18780724367, 151991.18780917834, 151991.18780917834, 151991.18780917834, 151991.9134325407, 152586.47939901793, 152592.60129210973, 152593.07109519155, 153431.97867147942, 153431.97867147942, 153431.97867147942, 153480.10517642627, 153480.10517642627]"
hyp2_log,"[51.08529410694413, 51.11957196588219, 51.11957196588219, 51.11957196588219, 51.11957196588219, 51.11957196588219, 51.11957196588219, 51.11957196588219, 51.21965319525041, 51.21965319525041, 51.21965319525041, 51.21965319525041, 51.21965319525041, 51.21965319525041, 51.21965319525041, 51.21965319525041, 51.38286989042382, 51.38286989042382, 51.38286989042382, 51.38286989042382, 51.38286989042382, 51.38286989042382, 51.383125834452834, 51.58570861808447, 51.58648068756747, 51.58648068756747, 51.58648068756747, 51.58648068756747, 51.58648068756747, 51.59807943847911, 51.59807943847911]"
hyp2_acc_log,"[926.3323999999997, 945.3796000000001, 945.3796000000001, 946.5379999999999, 946.5379999999999, 946.5379999999999, 946.5379999999999, 946.5379999999999, 966.4051999999999, 966.4051999999999, 966.4051999999999, 966.4051999999999, 966.4051999999999, 966.4051999999999, 966.4051999999999, 966.4051999999999, 975.8748000000002, 975.8748000000002, 975.8748000000002, 975.8748000000002, 975.8748000000002, 975.8748000000002, 991.9336000000002, 1016.0024000000002, 1016.0024000000002, 1016.0024000000002, 1016.0024000000002, 1016.0024000000002, 1016.1724000000003, 1016.1724000000003, 1016.1724000000003]"
r2_log,"[np.float64(0.11688218170165876), np.float64(0.11672866322378572), np.float64(0.11672866322378572), np.float64(0.11672866322378572), np.float64(0.11672866322378572), np.float64(0.11672866322378572), np.float64(0.11672866322378572), np.float64(0.11672866322378572), np.float64(0.11627637467247383), np.float64(0.11627637467247383), np.float64(0.11627637467247383), np.float64(0.11627637467247383), np.float64(0.11627637467247383), np.float64(0.11627637467247383), np.float64(0.11627637467247383), np.float64(0.11627637467247383), np.float64(0.11557586963036952), np.float64(0.11557586963036952), np.float64(0.11557586963036952), np.float64(0.11557586963036952), np.float64(0.11557586963036952), np.float64(0.11557586963036952), np.float64(0.11557586963036952), np.float64(0.1146835405487816), np.float64(0.11467805391849303), np.float64(0.11467805391849303), np.float64(0.11467805391849303), np.float64(0.11467805391849303), np.float64(0.11467805391849303), np.float64(0.11461317297082867), np.float64(0.11461317297082867)]"
total_time_search,18042.465645074844
