Key,Value
hyp_log,"[68201.88414678478, 68274.2753662656, 68388.75592871063, 68484.91656633557, 69821.96074993818, 70003.56991200843, 70139.52789581419, 71115.47045933474, 71470.33369428122, 71733.68886267237, 71805.19420116153, 72047.68712541502, 72253.60546345879, 72452.35329056864, 72647.40604069602, 72657.57186407944, 72659.08092396095, 73358.38104348318, 73376.92612569788, 73439.92501363796, 73443.24818740491, 73456.8957601675, 73456.8957601675, 73458.13111860347, 73905.6140203625, 73905.88418771981, 73919.82778204125, 73923.29718466925, 73925.06204995001, 73925.44521015041, 73925.4562439234]"
hyp2_log,"[23.31933809439559, 23.320018932663153, 23.32235861305496, 23.32400833004899, 23.69347883668539, 23.699304887962313, 23.699304887962313, 24.03966886675349, 24.16189772283659, 24.23674864892347, 24.257150822382705, 24.271239976837794, 24.34178337131464, 24.37850005209313, 24.442151929469723, 24.442151929469723, 24.442151929469723, 24.67911385072923, 24.685266795191584, 24.685266795191584, 24.685266795191584, 24.685761049895813, 24.685761049895813, 24.685761049895813, 24.84082235878338, 24.84082235878338, 24.845127142525733, 24.845127142525733, 24.845127142525733, 24.845127142525733, 24.845127142525733]"
r2_log,"[np.float64(0.3394731777944157), np.float64(0.3394731777944157), np.float64(0.3394731777944157), np.float64(0.3394731777944157), np.float64(0.3362165570248456), np.float64(0.33617645248659334), np.float64(0.33617645248659334), np.float64(0.3333813878531599), np.float64(0.3325266553418247), np.float64(0.33173871547648576), np.float64(0.3315551090534179), np.float64(0.3314351740327232), np.float64(0.3307855152318783), np.float64(0.3305121481869869), np.float64(0.330068311846154), np.float64(0.330068311846154), np.float64(0.330068311846154), np.float64(0.32786033542301535), np.float64(0.3278020134048564), np.float64(0.3278020134048564), np.float64(0.3278020134048564), np.float64(0.3278020134048564), np.float64(0.3278020134048564), np.float64(0.3278020134048564), np.float64(0.32676341020171074), np.float64(0.32676341020171074), np.float64(0.32673500179791015), np.float64(0.32673500179791015), np.float64(0.32673500179791015), np.float64(0.32673500179791015), np.float64(0.32673500179791015)]"
