Key,Value
max_f1,0
max_f2,0
max_f3,0
max_f4,0
min_f1,inf
min_f2,inf
min_f3,inf
min_f4,inf
hyp_log,"[136035.7515949677, 137355.24566184566, 138736.60412585904, 139905.08397163753, 140578.74422791015, 142715.490959031, 143191.79448996118, 143925.01497563094, 144442.76504058423, 145042.54171564098, 145510.51687573796, 145845.97150641435, 146166.40971633926, 146759.18480515762, 147186.40831069296, 147363.40423861658, 147649.05942818781, 147890.48823599637, 148122.30551010196, 148454.60958471292, 148605.02312111884, 148912.72369757883, 149211.12660752644, 149256.68906870592, 149599.1291312876, 149917.33910736634, 149967.08376704654, 150167.5498443381, 150398.2477903275, 150532.85097120583, 150705.06831489707]"
hyp2_log,"[45.958951684026225, 46.40874456873925, 46.87818006638836, 47.26159144851092, 47.48140861616278, 47.82048032874368, 47.978184022946515, 48.22710482205285, 48.39449967464763, 48.59796673561999, 48.75446182453834, 48.86686725275163, 48.97227351629113, 49.138094259071956, 49.28277442029484, 49.341390457214146, 49.43493688169203, 49.51466368161092, 49.59066651024924, 49.702863505673434, 49.75282996074191, 49.85530763934724, 49.95567761959745, 49.97054424153527, 50.08511401106328, 50.1658069652489, 50.182683397567146, 50.25094611342203, 50.32709793030483, 50.37258121158711, 50.429972816403364]"
r2_log,"[np.float64(0.1820835709760236), np.float64(0.17942831931956077), np.float64(0.17654948560923975), np.float64(0.17439490397682567), np.float64(0.17313085635042663), np.float64(0.17122470883341906), np.float64(0.17029640795489603), np.float64(0.16891220529239154), np.float64(0.16800764335368917), np.float64(0.1667443550237667), np.float64(0.16592357546143993), np.float64(0.16525797834057215), np.float64(0.16459963868547697), np.float64(0.16370245118032392), np.float64(0.1629149214449377), np.float64(0.16263407084245401), np.float64(0.16213257710996082), np.float64(0.1616319845998067), np.float64(0.16124393098924833), np.float64(0.16060423963564566), np.float64(0.16036462264651133), np.float64(0.1597698940603046), np.float64(0.15916175411875394), np.float64(0.15909346367054514), np.float64(0.15841470966505813), np.float64(0.15800190088890984), np.float64(0.15789199396861994), np.float64(0.15749147479346798), np.float64(0.15712854702689977), np.float64(0.15685162977888484), np.float64(0.15653987543626646)]"
