Key,Value
hyp_log,"[175149.19572820407, 176186.60495480715, 176770.3552140278, 176890.63963617157, 176926.4593284423, 176926.59826102742, 177008.6645387979, 177008.6758139727, 177135.30550622722, 177177.220920271, 177800.61110515933, 177803.83890916774, 177803.96146085832, 177875.53013674033, 177875.62154307583, 178032.50852761432, 178052.58580971358, 178055.58289065966, 178059.1954951831, 178059.34735513196, 178067.8992933591, 178289.97782289912, 178290.0121754053, 178304.98939619114, 178305.03083204036, 178312.42958642886, 178509.95417990908, 178509.97064615277, 178510.0001903314, 178510.01420591946]"
hyp2_log,"[35.77431786050368, 35.77659945336343, 35.7788562325173, 35.77885624750786, 35.77885624750786, 35.77885624750786, 35.77885624750786, 35.77885624750786, 35.77885624750786, 35.779284885594734, 35.78224015053892, 35.7829066604553, 35.78290667166039, 35.78290667166039, 35.78290667166039, 35.785864562648655, 35.789908603423946, 35.79049356877036, 35.791236626210186, 35.79123680440811, 35.792913777970575, 35.792957024520405, 35.79295733797001, 35.79308157688057, 35.79308158052973, 35.794612216445515, 35.794612276439025, 35.794612276439025, 35.79461227752971, 35.79461235422702]"
r2_log,"[np.float64(0.0033324363338737262), np.float64(0.0030176206046763246), np.float64(0.0028656346597825287), np.float64(0.0028250700488573308), np.float64(0.0028226281809136363), np.float64(0.002821401887474585), np.float64(0.002794195878831381), np.float64(0.002794195878831381), np.float64(0.0027563383164934457), np.float64(0.0027526164444096712), np.float64(0.002575473120843099), np.float64(0.0025712942270395495), np.float64(0.002571135905138623), np.float64(0.002553538520110347), np.float64(0.002553538520110347), np.float64(0.0025078984321982903), np.float64(0.0024697091043932176), np.float64(0.002460971466859331), np.float64(0.0024581745953354195), np.float64(0.0024577707962571476), np.float64(0.002447536584638657), np.float64(0.0023929368926010426), np.float64(0.0023915390643199017), np.float64(0.002390114943232058), np.float64(0.0023889276155064964), np.float64(0.002381307260776604), np.float64(0.002346643074839903), np.float64(0.002346643074839903), np.float64(0.0023444015260489373), np.float64(0.0023436339120524704)]"
