Key,Value
hyp_log,"[149821.2914988057, 150465.91712353678, 151891.1544230344, 151928.40735133938, 153127.65053777592, 153603.63938725195, 153849.5686947606, 153852.494096422, 154160.64245863046, 154347.06943066244, 154430.46623603182, 156120.57419623414, 156127.6301474937, 156129.14448513853, 156954.4733366675, 156966.07497639777, 157137.86151483122, 157415.30686552633, 157918.3111180312, 157923.21154119793, 157927.33873845, 158027.509947685, 158031.40711947955, 158356.6670161498, 158358.0495635913, 158358.98764948547, 158909.47096626816, 158909.6954136022, 158912.94931613872, 158912.9525570463, 158912.96084042557]"
hyp2_log,"[51.08529410694413, 51.08529410694413, 51.4029881132822, 51.4029881132822, 51.78650753028131, 51.78650753028131, 51.8290289314222, 51.82919817929669, 51.82919817929669, 51.857750805323505, 51.857750805323505, 52.37667371994889, 52.37795615365669, 52.37795615365669, 52.519547498296006, 52.519547498296006, 52.577269060242024, 52.675061953066205, 52.84765019679103, 52.84765019679103, 52.84765019679103, 52.84765019679103, 52.84765019679103, 52.960977043187, 52.960977043187, 52.960977043187, 53.15351764602897, 53.15351764602897, 53.15351764602897, 53.15351764602897, 53.15351764602897]"
r2_log,"[np.float64(0.1519753493360762), np.float64(0.1519753493360762), np.float64(0.14984799248818223), np.float64(0.14984799248818223), np.float64(0.1480742939590377), np.float64(0.1480742939590377), np.float64(0.1477926540716283), np.float64(0.1477926540716283), np.float64(0.1477926540716283), np.float64(0.14760463280598807), np.float64(0.14760463280598807), np.float64(0.14455851581191975), np.float64(0.14455851581191975), np.float64(0.14455851581191975), np.float64(0.1436240410389461), np.float64(0.1436240410389461), np.float64(0.1433544435612816), np.float64(0.14275752572774808), np.float64(0.14196159155991675), np.float64(0.14196159155991675), np.float64(0.14196159155991675), np.float64(0.14196159155991675), np.float64(0.14196159155991675), np.float64(0.14143246428771966), np.float64(0.14143246428771966), np.float64(0.14143246428771966), np.float64(0.14016239294970106), np.float64(0.14016239294970106), np.float64(0.14016239294970106), np.float64(0.14016239294970106), np.float64(0.14016239294970106)]"
