Key,Value
hyp_log,"[149838.48143703706, 150712.0917522417, 151475.24674117062, 152213.07025261878, 152604.10061433507, 152913.54136569682, 153609.7440058265, 153653.24321162648, 154271.5344379397, 154273.67839093247, 154280.97290030803, 154283.5117033559, 154293.450492302, 154454.35235844963, 154456.73283419872, 155035.3057970347, 155912.12742750373, 155918.45770334752, 155922.4731417152, 155932.36592507685, 156052.75631472107, 156425.2862275383, 156538.78481496737, 156574.2167596497, 156584.3786120788, 157544.41238003905, 157945.16470775305, 157966.0027476458, 157972.61211391754, 157980.630736695, 157981.0655840104]"
hyp2_log,"[51.08879872811821, 51.298934863021195, 51.298934863021195, 51.47295262228124, 51.47295262228124, 51.57549403495973, 51.81303679856078, 51.81643997918871, 51.81643997918871, 51.81644231077481, 51.81756959218338, 51.817680923552906, 51.81770502462963, 51.871418683335506, 51.871418683335506, 52.06579240565552, 52.370553647947624, 52.370559901411774, 52.370559901411774, 52.37187133570545, 52.37550163881822, 52.49747748317451, 52.49878506744233, 52.49914723493308, 52.499149540619925, 52.82821011742737, 52.82910096620694, 52.835885043414194, 52.83602675640229, 52.83602675640229, 52.83602675640229]"
r2_log,"[np.float64(0.15164622238088354), np.float64(0.15052680703904614), np.float64(0.15052680703904614), np.float64(0.14948193692603567), np.float64(0.14948193692603567), np.float64(0.14900612765393506), np.float64(0.14754378587087688), np.float64(0.14753337124892738), np.float64(0.14753337124892738), np.float64(0.14753337124892738), np.float64(0.14753337124892738), np.float64(0.14753337124892738), np.float64(0.14753337124892738), np.float64(0.14717738181157922), np.float64(0.14717738181157922), np.float64(0.1460934338312755), np.float64(0.14407648623099367), np.float64(0.14407648623099367), np.float64(0.14407648623099367), np.float64(0.14407648623099367), np.float64(0.1440534151306803), np.float64(0.14348498204062266), np.float64(0.14348498204062266), np.float64(0.14348498204062266), np.float64(0.14348498204062266), np.float64(0.14134969288859728), np.float64(0.14134969288859728), np.float64(0.1413180504573097), np.float64(0.1413180504573097), np.float64(0.1413180504573097), np.float64(0.1413180504573097)]"
